songId,trackName,albumName,artists,length,genres,mood,link,playCount
82,Righteous Minds,1999,Joey Bada$$,3:44,hip hop,rap,jazz rap,RELAXED,spotify:track:7dFGkZbmm6cVlI28bfMaWE,0
83,Didn't Cha Know,Mama's Gun,Erykah Badu,3:58,neo soul,r&b,RELAXED,spotify:track:7pv80uUHfocFqfTytu1MVi,0
84,Fashion Killa,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,3:56,rap,HAPPY,spotify:track:0O3TAouZE4vL9dM5SyxgvH,0
85,Houston Old Head,LIVE.LOVE.A$AP,A$AP Rocky,4:18,rap,RELAXED,spotify:track:6lmMjq57ysbPyknJZjKuWI,0
86,Wet Dreamz,2014 Forest Hills Drive,J. Cole,3:59,rap,RELAXED,spotify:track:4tqcoej1zPvwePZCzuAjJd,0
87,south to west,DS4EVER,Gunna,2:02,melodic rap,RELAXED,spotify:track:7rEUuRanwV9piOwwPKxPIM,0
88,LVL,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,3:40,rap,MELANCHOLIC,spotify:track:787rCZF9i4L1cXGMkdyIk4,0
89,Teenage Fever,More Life,Drake,3:39,rap,MELANCHOLIC,spotify:track:6n3HGiq4v35D6eFOSwqYuo,0
90,Flashing Lights,Graduation,Kanye West|Dwele,3:57,rap,neo soul,RELAXED,spotify:track:5TRPicyLGbAF2LGBFbHGvO,0
91,The Real Her,Take Care (Deluxe),Drake|Lil Wayne|André 3000,5:21,rap,hip hop,RELAXED,spotify:track:74atKkOasLOVzvqB6mYgga,0
92,These Walls,To Pimp A Butterfly,Kendrick Lamar|Bilal|Anna Wise|Thundercat,5:00,hip hop,west coast hip hop,neo soul,alternative r&b,RELAXED,spotify:track:7uWVT3UkCAZyANvv0bdyQn,0
93,Take My Breath,Dawn FM,The Weeknd,5:39,,RELAXED,spotify:track:2vgUijXOTRMnWXDtvgMp2b,0
94,How Do I Make You Love Me?,Dawn FM,The Weeknd,3:34,,RELAXED,spotify:track:2Ghp894n1laIf2w98VeAOJ,0
95,Out of Time,Dawn FM,The Weeknd,3:34,,HAPPY,spotify:track:2SLwbpExuoBDZBpjfefCtV,0
96,Is There Someone Else?,Dawn FM,The Weeknd,3:19,,RELAXED,spotify:track:0mL82sxCRjrs3br407IdJh,0
97,Less Than Zero,Dawn FM,The Weeknd,3:31,,RELAXED,spotify:track:2D4dV2KXDTszzJ3p3cFqhA,0
98,I Can't Wait To Get There,Hurry Up Tomorrow,The Weeknd,3:08,,MELANCHOLIC,spotify:track:0bcZ7xN9IcjSNxLerzR2yl,0
99,Cry For Me,Hurry Up Tomorrow,The Weeknd,3:44,,RELAXED,spotify:track:3AWDeHLc88XogCaCnZQLVI,0
100,Wake Me Up (feat. Justice),Hurry Up Tomorrow,The Weeknd|Justice,5:08,french house,new rave,RELAXED,spotify:track:5673WA8EEUSPx1ir26lhGW,0
101,Open Hearts,Hurry Up Tomorrow,The Weeknd,3:54,,MELANCHOLIC,spotify:track:0sTBOp1hdayTjw6UOyPyi6,0
102,Niagara Falls,Hurry Up Tomorrow,The Weeknd,4:37,,MELANCHOLIC,spotify:track:2v0AG62ZHtD3I4YmTb3WYM,0
103,So Be It,Let God Sort Em Out,Clipse|Pusha T|Malice,3:14,,HAPPY,spotify:track:0xaQ86cGRgcF8wwP1SkXsb,0
104,M.T.B.T.T.F.,Let God Sort Em Out,Clipse|Pusha T|Malice,2:36,,HAPPY,spotify:track:3fZd2UtWZMntClCSnJ7PDY,0
105,F.I.C.O.,Let God Sort Em Out,Clipse|Stove God Cooks|Pusha T|Malice,3:21,,RELAXED,spotify:track:6X5sXeRwqbqPsZ8FFFae0F,0
106,Inglorious Bastards,Let God Sort Em Out,Clipse|Ab Liva|Pusha T|Malice,2:33,,RELAXED,spotify:track:6vh3knkD2m9behBKvuKePP,0
107,The Birds Don't Sing,Let God Sort Em Out,Clipse|John Legend|Voices of Fire|Pusha T|Malice,4:00,soft pop,neo soul,RELAXED,spotify:track:6L3i4jdNnk0a9kMT3qIqTG,0
108,20 Min,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,3:40,melodic rap,HAPPY,spotify:track:0uxSUdBrJy9Un0EYoBowng,0
109,The Party & The After Party,House Of Balloons (Original),The Weeknd,7:39,,MELANCHOLIC,spotify:track:0GROiXm03OrMC5ltXLhGIu,0
110,High For This,House Of Balloons (Original),The Weeknd,4:09,,MELANCHOLIC,spotify:track:2ye9iWj5V4g6k6HFeTTAKa,0
111,Loft Music,House Of Balloons (Original),The Weeknd,6:03,,MELANCHOLIC,spotify:track:2yBz1hupoOBncorzuKcJ2z,0
112,Funny Papers,Balloonerism,Mac Miller,4:23,,MELANCHOLIC,spotify:track:4pu58kqegTnOxPNJpY3kr9,0
113,Umbrella (with 21 Savage & Young Nudy),HEROES & VILLAINS,Metro Boomin|21 Savage|Young Nudy,3:42,,MELANCHOLIC,spotify:track:2Yt4SXIgmoaPZHGdRafp4P,0
114,Ski,Slime Language 2,Young Stoner Life|Young Thug|Gunna,2:32,rap,melodic rap,trap,HAPPY,spotify:track:6755DFiZ7CWe2WMdTGW5C1,0
115,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],HEROES & VILLAINS,Metro Boomin|21 Savage|Mustafa,5:10,,MELANCHOLIC,spotify:track:1UsQe17Ef7tV1ahFqHEFR3,0
116,All The Money (with Gunna) [Bonus],HEROES & VILLAINS,Metro Boomin|Gunna,2:47,melodic rap,MELANCHOLIC,spotify:track:4a1fh9vJMMoRjNrBmEWoM0,0
117,What Did I Miss?,What Did I Miss?,Drake,3:14,rap,RELAXED,spotify:track:57GsLpRtEtrzcPGPop20rS,0
118,Do Not Disturb,More Life,Drake,4:43,rap,RELAXED,spotify:track:2KvHC9z14GSl4YpkNMX384,0
119,Father Time (feat. Sampha),Mr. Morale & The Big Steppers,Kendrick Lamar|Sampha,3:42,hip hop,west coast hip hop,indie soul,ENERGETIC,spotify:track:28qA8y1sz0FTuSapsCxNOG,0
120,Ps & Qs,Lil Uzi Vert vs. The World,Lil Uzi Vert,3:41,melodic rap,MELANCHOLIC,spotify:track:1gGsNNUfvVMOv4llVMg8Vg,0
121,After Hours,After Hours,The Weeknd,6:01,,MELANCHOLIC,spotify:track:2p8IUWQDrpjuFltbdgLOag,0
122,Save Your Tears,After Hours,The Weeknd,3:35,,RELAXED,spotify:track:5QO79kh1waicV47BqGRL3g,0
123,XO Tour Llif3,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,3:02,melodic rap,RELAXED,spotify:track:3EWaR09H3TkRgaLTIheYFr,0
124,cLOUDs,cLOUDs,J. Cole,4:02,rap,RELAXED,spotify:track:53WWD2BBC6Jcip8wy5CniE,0
125,Rubber Bands & Weight,Tana Talk 3,Benny The Butcher,3:53,boom bap,RELAXED,spotify:track:7oE1d83u3LWMLB36BcBq0A,0
126,1995,Alfredo 2,Freddie Gibbs|The Alchemist,4:49,jazz rap,alternative hip hop,experimental hip hop,boom bap,RELAXED,spotify:track:3lGHMz9BIUZWFEx0fhS4VF,0
127,Ensalada (feat. Anderson .Paak),Alfredo 2,Freddie Gibbs|The Alchemist|Anderson .Paak,3:46,jazz rap,alternative hip hop,experimental hip hop,boom bap,RELAXED,spotify:track:06ZX08uRQDK02emdw9mN28,0
128,I Still Love H.E.R.,Alfredo 2,Freddie Gibbs|The Alchemist,2:52,jazz rap,alternative hip hop,experimental hip hop,boom bap,RELAXED,spotify:track:3MkzhFS21pIGreE1G6Sds2,0
129,Lavish Habits,Alfredo 2,Freddie Gibbs|The Alchemist,2:57,jazz rap,alternative hip hop,experimental hip hop,boom bap,RELAXED,spotify:track:6cJafURmTOqf5y8Ub251At,0
130,Mar-a-Lago,Alfredo 2,Freddie Gibbs|The Alchemist,2:59,jazz rap,alternative hip hop,experimental hip hop,boom bap,RELAXED,spotify:track:1b9cpyNQnzlmMDd7vs3NT9,0
131,Lemon Pepper Steppers,Alfredo 2,Freddie Gibbs|The Alchemist,2:46,jazz rap,alternative hip hop,experimental hip hop,boom bap,MELANCHOLIC,spotify:track:0JoGpxGXpz5vuam5Fopc4C,0
132,Shot You Down (feat. Jay Rock & ScHoolboy Q),Cilvia Demo,Isaiah Rashad|Jay Rock|ScHoolboy Q,7:06,,RELAXED,spotify:track:01wKeKPgYxdPYA8rfMveYc,0
133,Headlines,Take Care (Deluxe),Drake,3:55,rap,RELAXED,spotify:track:7kfTqGMzIHFWeBeOJALzRf,0
134,The Less I Know The Better,Currents,Tame Impala,3:36,neo-psychedelic,indie,HAPPY,spotify:track:6K4t31amVTZDgR3sKmwUJJ,0
135,Jean Claude,Alfredo 2,Freddie Gibbs|The Alchemist,3:04,jazz rap,alternative hip hop,experimental hip hop,boom bap,RELAXED,spotify:track:1WvyaKxb7faFP3r2mtPV8e,0
136,Club Paradise,Care Package,Drake,4:43,rap,RELAXED,spotify:track:6MR5IBSNfDmiwnrlQpVw4w,0
137,Girls Love Beyoncé (feat. James Fauntleroy),Care Package,Drake|James Fauntleroy,3:45,rap,MELANCHOLIC,spotify:track:56NDFbD0tCUawnqeU2wcvv,0
138,Stars Align (with Drake),Wildest Dreams,Majid Jordan|Drake,4:20,rap,HAPPY,spotify:track:5hTl2uxJGd1sbLtovguuuk,0
139,Dancing In The Flames,Dancing In The Flames,The Weeknd,3:40,,RELAXED,spotify:track:29lXN1aoaL6HE72BOvknyr,0
